0, 163
163, 0
0, 10
10, 0
0, 8
8, 0
0, 137
137, 0
0, 82
82, 0
0, 105
105, 0
0, 6
6, 0
0, 9
9, 0
0, 194
194, 0
0, 73
73, 0
0, 12
12, 0
0, 7
7, 0
0, 239
239, 0
0, 36
36, 0
0, 123
123, 0
0, 104
104, 0
0, 5
5, 0
0, 66
66, 0
0, 232
232, 0
0, 76
76, 0
0, 136
136, 0
0, 81
81, 0
0, 24
24, 0
0, 58
58, 0
0, 25
25, 0
0, 22
22, 0
0, 1
1, 0
0, 109
109, 0
0, 16
16, 0
0, 57
57, 0
0, 32
32, 0
0, 217
217, 0
0, 216
216, 0
0, 18
18, 0
0, 2
2, 0
0, 177
177, 0
0, 205
205, 0
0, 37
37, 0
0, 33
33, 0
0, 13
13, 0
0, 53
53, 0
0, 3
3, 0
0, 47
47, 0
0, 113
113, 0
0, 60
60, 0
0, 72
72, 0
1, 167
167, 1
1, 109
109, 1
1, 18
18, 1
1, 49
49, 1
1, 99
99, 1
1, 6
6, 1
1, 94
94, 1
1, 155
155, 1
1, 52
52, 1
1, 38
38, 1
1, 21
21, 1
1, 51
51, 1
1, 45
45, 1
1, 11
11, 1
2, 165
165, 2
2, 8
8, 2
2, 63
63, 2
2, 65
65, 2
2, 5
5, 2
2, 147
147, 2
2, 182
182, 2
2, 15
15, 2
2, 224
224, 2
2, 194
194, 2
2, 50
50, 2
2, 9
9, 2
2, 110
110, 2
2, 203
203, 2
3, 8
8, 3
3, 20
20, 3
3, 36
36, 3
3, 14
14, 3
3, 7
7, 3
3, 35
35, 3
3, 27
27, 3
3, 211
211, 3
3, 18
18, 3
3, 177
177, 3
3, 33
33, 3
3, 118
118, 3
3, 75
75, 3
4, 163
163, 4
4, 55
55, 4
4, 66
66, 4
4, 22
22, 4
4, 16
16, 4
4, 57
57, 4
4, 31
31, 4
4, 37
37, 4
4, 56
56, 4
4, 141
141, 4
4, 173
173, 4
4, 156
156, 4
4, 20
20, 4
4, 77
77, 4
5, 82
82, 5
5, 62
62, 5
5, 25
25, 5
5, 31
31, 5
5, 18
18, 5
5, 177
177, 5
5, 13
13, 5
5, 53
53, 5
5, 165
165, 5
5, 72
72, 5
5, 8
8, 5
5, 81
81, 5
5, 14
14, 5
5, 121
121, 5
5, 21
21, 5
5, 9
9, 5
5, 163
163, 5
6, 99
99, 6
6, 227
227, 6
6, 159
159, 6
6, 46
46, 6
6, 42
42, 6
6, 220
220, 6
6, 14
14, 6
6, 10
10, 6
6, 126
126, 6
6, 175
175, 6
7, 131
131, 7
7, 119
119, 7
7, 25
25, 7
7, 78
78, 7
7, 37
37, 7
7, 33
33, 7
7, 48
48, 7
7, 39
39, 7
7, 106
106, 7
7, 76
76, 7
7, 23
23, 7
8, 163
163, 8
8, 28
28, 8
8, 137
137, 8
8, 76
76, 8
8, 104
104, 8
8, 214
214, 8
8, 9
9, 8
8, 239
239, 8
8, 25
25, 8
8, 81
81, 8
8, 66
66, 8
8, 16
16, 8
8, 57
57, 8
8, 217
217, 8
8, 216
216, 8
8, 18
18, 8
8, 177
177, 8
8, 205
205, 8
8, 37
37, 8
8, 53
53, 8
8, 47
47, 8
8, 113
113, 8
8, 72
72, 8
9, 82
82, 9
9, 62
62, 9
9, 25
25, 9
9, 29
29, 9
9, 88
88, 9
9, 165
165, 9
9, 100
100, 9
9, 182
182, 9
9, 24
24, 9
9, 166
166, 9
10, 227
227, 10
10, 175
175, 10
10, 185
185, 10
10, 159
159, 10
10, 11
11, 10
10, 37
37, 10
10, 33
33, 10
10, 195
195, 10
10, 17
17, 10
11, 30
30, 11
11, 120
120, 11
11, 154
154, 11
11, 42
42, 11
11, 186
186, 11
11, 74
74, 11
11, 151
151, 11
11, 94
94, 11
11, 109
109, 11
11, 45
45, 11
12, 123
123, 12
12, 58
58, 12
12, 205
205, 12
12, 13
13, 12
12, 65
65, 12
12, 34
34, 12
12, 108
108, 12
12, 111
111, 12
12, 54
54, 12
13, 219
219, 13
13, 90
90, 13
13, 52
52, 13
13, 36
36, 13
13, 27
27, 13
13, 51
51, 13
13, 233
233, 13
13, 127
127, 13
14, 62
62, 14
14, 54
54, 14
14, 162
162, 14
14, 69
69, 14
14, 26
26, 14
14, 18
18, 14
14, 34
34, 14
15, 237
237, 15
15, 19
19, 15
15, 112
112, 15
15, 98
98, 15
15, 24
24, 15
15, 213
213, 15
15, 117
117, 15
15, 16
16, 15
15, 203
203, 15
16, 82
82, 16
16, 56
56, 16
16, 77
77, 16
16, 83
83, 16
16, 26
26, 16
17, 79
79, 17
17, 190
190, 17
17, 40
40, 17
17, 150
150, 17
17, 181
181, 17
17, 52
52, 17
17, 160
160, 17
18, 113
113, 18
18, 177
177, 18
18, 72
72, 18
18, 104
104, 18
18, 194
194, 18
18, 19
19, 18
18, 172
172, 18
18, 223
223, 18
18, 53
53, 18
18, 25
25, 18
18, 217
217, 18
18, 216
216, 18
19, 93
93, 19
19, 117
117, 19
19, 112
112, 19
19, 206
206, 19
19, 94
94, 19
19, 218
218, 19
19, 34
34, 19
19, 108
108, 19
20, 188
188, 20
20, 78
78, 20
20, 169
169, 20
20, 72
72, 20
21, 38
38, 21
21, 51
51, 21
21, 160
160, 21
21, 90
90, 21
21, 174
174, 21
21, 170
170, 21
22, 153
153, 22
22, 25
25, 22
22, 33
33, 22
22, 37
37, 22
22, 199
199, 22
22, 40
40, 22
23, 135
